date,factor_TS,factor_PRET,factor_R2
1969-12-05,0.00741876,0.00382416,0.00161740
1969-12-08,0.01581199,0.00523171,0.00205975
1969-12-09,0.01039838,0.00494595,0.00246878
1969-12-10,0.00765593,0.00365118,0.00240498
1969-12-11,0.00163894,0.00143729,0.00166830
1969-12-12,-0.00105604,0.00148460,-0.00037550
1969-12-15,0.00444862,0.00228241,-0.00152882
1969-12-16,0.01101619,0.00352852,0.00000955
1969-12-17,0.00734046,0.00315917,0.00079128
1969-12-18,-0.01036259,-0.00366468,-0.00232810
1969-12-19,-0.00761770,-0.00093303,-0.00050715
1969-12-22,0.01552401,0.00612705,0.00246109
1969-12-23,0.00914981,0.00163527,-0.00044101
1969-12-24,-0.01874481,-0.00673693,-0.00329390
1969-12-26,-0.01073615,-0.00359836,-0.00153974
1969-12-29,0.01376590,0.00376324,0.00371357
1969-12-30,0.00049184,-0.00051661,0.00020229
1969-12-31,-0.00491537,0.00119208,0.00215501
1970-01-02,-0.04228473,-0.01499723,-0.00806560
1970-01-05,-0.02302437,-0.00586791,-0.00110440
1970-01-06,0.00553239,0.00246291,0.00125334
1970-01-07,-0.00217960,0.00106129,0.00186503
1970-01-08,0.00079036,0.00217461,0.00239064
1970-01-09,0.00521596,0.00152976,0.00177148
1970-01-12,0.01012766,0.00520614,0.00375497
1970-01-13,0.00514882,0.00113907,0.00233818
1970-01-14,0.00722546,0.00469836,0.00179612
1970-01-15,0.00789341,0.00380995,0.00117416
1970-01-16,-0.00112604,0.00199415,0.00142484
1970-01-19,-0.00896939,-0.00049477,0.00130248
1970-01-20,0.00300390,0.00036781,0.00046002
1970-01-21,-0.00257528,-0.00204610,-0.00156055
1970-01-22,-0.00019921,-0.00086602,-0.00074476
1970-01-23,0.00547209,0.00470357,0.00406797
1970-01-26,-0.00009634,0.00366572,0.00180224
1970-01-27,0.00026317,0.00005739,0.00063375
1970-01-28,0.00298702,0.00314421,0.00496337
1970-01-29,-0.00062956,0.00179140,0.00208532
1970-01-30,-0.00648550,-0.00230713,0.00003827
